time,total
00:00,31306
00:15,31082
00:30,30455
00:45,29946
01:00,29716
01:15,29459
01:30,29437
01:45,28987
02:00,28884
02:15,28342
02:30,28695
02:45,28500
03:00,28078
03:15,28329
03:30,28476
03:45,27865
04:00,28117
04:15,27858
04:30,27936
04:45,27826
05:00,27733
05:15,28167
05:30,28413
05:45,28702
06:00,28798
06:15,29602
06:30,29211
06:45,29043
07:00,29721
07:15,34940
07:30,46142
07:45,68167
08:00,77905
08:15,64873
08:30,57719
08:45,51703
09:00,49166
09:15,49220
09:30,50550
09:45,50225
10:00,51301
10:15,49596
10:30,50057
10:45,49134
11:00,49048
11:15,48423
11:30,48583
11:45,49332
12:00,51309
12:15,57819
12:30,61644
12:45,60447
13:00,58527
13:15,54493
13:30,52938
13:45,51769
14:00,50814
14:15,50531
14:30,49309
14:45,48457
15:00,47478
15:15,46791
15:30,46779
15:45,46541
16:00,46722
16:15,46896
16:30,47593
16:45,47735
17:00,47536
17:15,47836
17:30,47831
17:45,47060
18:00,46423
18:15,44762
18:30,43153
18:45,41630
19:00,39319
19:15,37739
19:30,38485
19:45,39431
20:00,39376
20:15,39510
20:30,38741
20:45,37995
21:00,37187
21:15,37028
21:30,36551
21:45,36069
22:00,35316
22:15,35093
22:30,34689
22:45,33785
23:00,33648
23:15,33002
23:30,32223
23:45,32065
